Specimen,"w_i 
[mm]","t_i 
[mm]","Time 
[sec]","Extension 
[mm]","Strain 
[%]","Load 
[N]","Axial Strain 
[--]"
1018 cold drawn steel,4,0.25,0,0.02175,0.2916798,0,0
,,,0.1,0.03168749,0.3085475,13.4810798,0.001265045
,,,0.2,0.04293749,0.3343097,35.1053304,0.00137067
,,,0.3,0.05481249,0.3699358,64.0536026,0.001516737
,,,0.4,0.06668749,0.4124948,99.1865497,0.001691229
,,,0.5,0.07831249,0.4606062,138.676066,0.001888485
,,,0.6,0.08937499,0.511676,179.917611,0.002097872
,,,0.7,0.09981249,0.562854,219.802931,0.002307701
,,,0.8,0.1096875,0.6124501,255.425692,0.002511045
,,,0.9,0.1190625,0.659716,284.380641,0.002704836
,,,1,0.128,0.7039357,305.813918,0.002886136
,,,1.1,0.13675,0.7450797,320.228851,0.003129335
,,,1.2,0.145375,0.783865,329.091982,0.003449006
,,,1.3,0.154,0.8207672,334.407635,0.003775529
,,,1.4,0.1625625,0.8562793,337.712009,0.004110141
,,,1.5,0.17125,0.8910188,340.078207,0.004455094
,,,1.6,0.18,0.925466,342.492769,0.004812423
,,,1.7,0.1886875,0.9597155,345.119512,0.005182464
,,,1.8,0.1974375,0.993824,347.739942,0.005565414
,,,1.9,0.20625,1.028028,350.624662,0.005962562
,,,2,0.215,1.062279,353.677479,0.006373674
,,,2.1,0.2236875,1.096476,356.606176,0.006798151
,,,2.2,0.2324375,1.130528,359.430013,0.007235379
,,,2.3,0.241125,1.164423,362.180448,0.007685192
,,,2.4,0.2498125,1.198231,364.634921,0.008147971
,,,2.5,0.258375,1.232048,366.920762,0.008624336
,,,2.6,0.267,1.265516,369.232176,0.009111715
,,,2.7,0.2755625,1.298663,371.254262,0.009610106
,,,2.8,0.284125,1.331598,373.263722,0.010120145
,,,2.9,0.29275,1.364269,375.254778,0.010641298
,,,3,0.3013124,1.396875,377.107804,0.011175
,,,3.1,0.3098749,1.429382,378.743299,0.011720932
,,,3.2,0.318375,1.461729,380.489004,0.012278524
,,,3.3,0.3269374,1.494006,382.213523,0.012848452
,,,3.4,0.3355,1.525952,383.889999,0.013428378
,,,3.5,0.3439999,1.557771,385.526992,0.014019939
,,,3.6,0.352625,1.589756,387.218555,0.014625755
,,,3.7,0.3611874,1.621843,388.753577,0.015245324
,,,3.8,0.3698124,1.65395,390.264738,0.01587792
,,,3.9,0.3783749,1.686029,391.702818,0.016523084
,,,4,0.3869375,1.71825,393.122494,0.0171825
,,,4.1,0.3955624,1.750531,394.526869,0.017855416
,,,4.2,0.4041249,1.782627,395.97383,0.018539321
,,,4.3,0.4126874,1.814788,397.266283,0.019236753
,,,4.4,0.4213124,1.846959,398.441678,0.019947157
,,,4.5,0.4298749,1.879149,399.466096,0.020670639
,,,4.6,0.438375,1.911281,400.445681,0.021406347
,,,4.7,0.4468749,1.943318,401.492355,0.022153825
,,,4.8,0.4553124,1.97518,402.51474,0.022912088
,,,4.9,0.4638125,2.006738,403.78697,0.023679508
,,,5,0.4723124,2.038369,405.07525,0.024460428
,,,5.1,0.480875,2.069937,406.270761,0.025253231
,,,5.2,0.4894374,2.101717,407.321073,0.026061291
,,,5.3,0.4979374,2.133795,408.347203,0.026885817
,,,5.4,0.5064999,2.165704,409.343266,0.027721011
,,,5.5,0.5149999,2.197595,410.191669,0.028568735
,,,5.6,0.5235624,2.229519,411.023915,0.029429651
,,,5.7,0.5321249,2.261451,411.909768,0.030303443
,,,5.8,0.5406874,2.293216,412.689798,0.031187738
,,,5.9,0.5492499,2.325054,413.482454,0.032085745
,,,6,0.55775,2.356784,414.316305,0.032994976
,,,6.1,0.5662499,2.388665,415.068087,0.033919043
,,,6.2,0.5748124,2.420633,415.881394,0.034857115
,,,6.3,0.5833124,2.452576,416.738036,0.03580761
,,,6.4,0.591875,2.484478,417.491316,0.036770274
,,,6.5,0.6003749,2.516309,418.179219,0.037744635
,,,6.6,0.6089374,2.548268,418.916984,0.03822402
,,,6.7,0.6174374,2.580266,419.645868,0.03870399
,,,6.8,0.6259374,2.612213,420.374003,0.039183195
,,,6.9,0.6344999,2.644057,421.027345,0.039660855
,,,7,0.6429999,2.675663,421.649336,0.040134945
,,,7.1,0.6514999,2.707204,422.283204,0.04060806
,,,7.2,0.6600624,2.738805,422.979132,0.041082075
,,,7.3,0.6686249,2.770581,423.66971,0.041558715
,,,7.4,0.6771874,2.802603,424.150247,0.042039045
,,,7.5,0.6857499,2.834607,424.777374,0.042519105
,,,7.6,0.6942499,2.866558,425.438634,0.04299837
,,,7.7,0.7027499,2.89841,426.025957,0.04347615
,,,7.8,0.7113124,2.930135,426.509597,0.043952025
,,,7.9,0.7198124,2.961933,426.939737,0.044428995
,,,8,0.7283749,2.993757,427.406471,0.044906355
,,,8.1,0.7369374,3.025617,427.971324,0.045384255
,,,8.2,0.7454999,3.057504,428.414625,0.04586256
,,,8.3,0.7539999,3.089616,428.939139,0.04634424
,,,8.4,0.7625623,3.121449,429.460015,0.046821735
,,,8.5,0.7710623,3.153276,429.945046,0.04729914
,,,8.6,0.7796249,3.185115,430.308525,0.047776725
,,,8.7,0.7881874,3.217051,430.667831,0.048255765
,,,8.8,0.7967499,3.249074,431.021252,0.04873611
,,,8.9,0.8052499,3.281027,431.50318,0.049215405
,,,9,0.8138124,3.312955,432.14304,0.049694325
,,,9.1,0.8223124,3.344885,432.645298,0.050173275
